,open,low,high,close,price_change,change_percent,date,shamsi_date
1030,"33,600","33,600","33,600","33,600",330,0.98%,2015/03/24,1394/01/04
1031,"33,560","33,560","34,280","33,930",-,-,2015/03/25,1394/01/05
1032,"33,980","33,890","34,030","33,930",970,2.94%,2015/03/26,1394/01/06
1033,"33,810","32,730","33,810","32,960",140,0.42%,2015/03/28,1394/01/08
1034,"32,970","32,610","33,180","33,100",140,0.42%,2015/03/29,1394/01/09
1035,"33,110","32,990","33,340","33,240",170,0.51%,2015/03/30,1394/01/10
1036,"33,190","32,880","33,390","33,070",230,0.7%,2015/03/31,1394/01/11
1037,"32,890","32,890","33,300","33,300",950,2.94%,2015/04/01,1394/01/12
1038,"33,230","32,250","33,230","32,350",470,1.47%,2015/04/02,1394/01/13
1039,"32,340","31,710","32,340","31,880",810,2.54%,2015/04/03,1394/01/14
1040,"31,850","31,710","32,700","32,690",150,0.46%,2015/04/04,1394/01/15
1041,"32,760","32,670","32,990","32,840",20,0.06%,2015/04/05,1394/01/16
1042,"32,820","32,600","32,890","32,860",280,0.85%,2015/04/06,1394/01/17
1043,"32,840","32,840","33,170","33,140",210,0.64%,2015/04/07,1394/01/18
1044,"33,170","32,930","33,330","32,930",30,0.09%,2015/04/08,1394/01/19
1045,"32,910","32,860","33,090","32,900",620,1.88%,2015/04/09,1394/01/20
1046,"32,950","32,950","33,560","33,520",130,0.39%,2015/04/11,1394/01/22
1047,"33,570","33,390","33,850","33,390",10,0.03%,2015/04/12,1394/01/23
1048,"33,420","33,340","33,580","33,380",70,0.21%,2015/04/13,1394/01/24
1049,"33,480","33,270","33,530","33,450",130,0.39%,2015/04/14,1394/01/25
1050,"33,440","33,440","33,710","33,580",100,0.3%,2015/04/15,1394/01/26
1051,"33,590","33,450","33,620","33,480",60,0.18%,2015/04/16,1394/01/27
1052,"33,490","33,420","33,490","33,420",60,0.18%,2015/04/17,1394/01/28
1053,"33,440","33,330","33,450","33,360",30,0.09%,2015/04/18,1394/01/29
1054,"33,340","33,310","33,440","33,390",-,-,2015/04/19,1394/01/30
1055,"33,450","33,350","33,450","33,390",-,-,2015/04/20,1394/01/31
1056,"33,400","33,370","33,450","33,390",30,0.09%,2015/04/21,1394/02/01
1057,"33,380","33,310","33,390","33,360",30,0.09%,2015/04/22,1394/02/02
1058,"33,370","33,310","33,390","33,330",-,-,2015/04/23,1394/02/03
1059,"33,340","33,330","33,340","33,330",110,0.33%,2015/04/24,1394/02/04
1060,"33,320","33,210","33,340","33,220",80,0.24%,2015/04/25,1394/02/05
1061,"33,200","33,190","33,350","33,300",50,0.15%,2015/04/26,1394/02/06
1062,"33,340","33,340","33,430","33,350",30,0.09%,2015/04/27,1394/02/07
1063,"33,360","33,310","33,390","33,380",20,0.06%,2015/04/28,1394/02/08
1064,"33,390","33,340","33,410","33,360",30,0.09%,2015/04/29,1394/02/09
1065,"33,370","33,330","33,400","33,390",-,-,2015/04/30,1394/02/10
1066,"33,400","33,390","33,400","33,390",-,-,2015/05/01,1394/02/11
1067,"33,410","33,350","33,430","33,390",140,0.42%,2015/05/03,1394/02/13
1068,"33,400","33,250","33,400","33,250",20,0.06%,2015/05/04,1394/02/14
1069,"33,230","33,170","33,270","33,270",30,0.09%,2015/05/05,1394/02/15
1070,"33,250","33,190","33,320","33,300",10,0.03%,2015/05/06,1394/02/16
1071,"33,310","33,280","33,320","33,290",10,0.03%,2015/05/07,1394/02/17
1072,"33,300","33,300","33,300","33,300",90,0.27%,2015/05/08,1394/02/18
1073,"33,290","33,210","33,300","33,210",30,0.09%,2015/05/09,1394/02/19
1074,"33,220","33,140","33,220","33,180",20,0.06%,2015/05/10,1394/02/20
1075,"33,170","33,110","33,190","33,160",-,-,2015/05/11,1394/02/21
1076,"33,120","33,070","33,170","33,160",30,0.09%,2015/05/12,1394/02/22
1077,"33,180","33,150","33,270","33,190",10,0.03%,2015/05/13,1394/02/23
1078,"33,180","33,170","33,200","33,200",10,0.03%,2015/05/14,1394/02/24
1079,"33,190","33,190","33,190","33,190",-,-,2015/05/15,1394/02/25
1080,"33,200","33,190","33,200","33,190",90,0.27%,2015/05/16,1394/02/26
1081,"33,150","33,090","33,160","33,100",30,0.09%,2015/05/17,1394/02/27
1082,"33,040","33,040","33,080","33,070",90,0.27%,2015/05/18,1394/02/28
1083,"33,060","32,980","33,080","32,980",150,0.46%,2015/05/19,1394/02/29
1084,"32,990","32,770","33,020","32,830",20,0.06%,2015/05/20,1394/02/30
1085,"32,940","32,850","33,050","32,850",120,0.37%,2015/05/21,1394/02/31
1086,"32,960","32,960","33,100","32,970",20,0.06%,2015/05/23,1394/03/02
1087,"33,000","32,950","33,050","32,950",20,0.06%,2015/05/24,1394/03/03
1088,"33,070","32,930","33,130","32,930",70,0.21%,2015/05/25,1394/03/04
1089,"33,110","33,000","33,150","33,000",-,-,2015/05/26,1394/03/05
1090,"33,070","33,000","33,150","33,000",20,0.06%,2015/05/27,1394/03/06
1091,"33,100","32,980","33,220","32,980",100,0.3%,2015/05/28,1394/03/07
1092,"33,100","33,080","33,320","33,080",110,0.33%,2015/05/30,1394/03/09
1093,"33,200","33,160","33,320","33,190",60,0.18%,2015/05/31,1394/03/10
1094,"33,200","33,100","33,210","33,130",-,-,2015/06/01,1394/03/11
1095,"33,160","33,100","33,220","33,130",20,0.06%,2015/06/02,1394/03/12
1096,"33,180","33,110","33,230","33,110",30,0.09%,2015/06/06,1394/03/16
1097,"33,130","33,070","33,130","33,080",20,0.06%,2015/06/07,1394/03/17
1098,"33,140","33,100","33,160","33,100",20,0.06%,2015/06/08,1394/03/18
1099,"33,110","33,080","33,160","33,080",-,-,2015/06/09,1394/03/19
1100,"33,120","33,080","33,170","33,080",30,0.09%,2015/06/10,1394/03/20
1101,"33,100","33,050","33,110","33,050",10,0.03%,2015/06/11,1394/03/21
1102,"33,080","33,040","33,100","33,040",120,0.36%,2015/06/13,1394/03/23
1103,"33,020","32,920","33,020","32,920",100,0.3%,2015/06/14,1394/03/24
1104,"32,910","32,820","32,910","32,820",30,0.09%,2015/06/15,1394/03/25
1105,"32,750","32,690","32,850","32,850",-,-,2015/06/16,1394/03/26
1106,"32,860","32,820","32,920","32,850",70,0.21%,2015/06/17,1394/03/27
1107,"32,840","32,780","32,840","32,780",70,0.21%,2015/06/18,1394/03/28
1108,"32,790","32,700","32,790","32,710",10,0.03%,2015/06/20,1394/03/30
1109,"32,730","32,680","32,770","32,720",100,0.31%,2015/06/21,1394/03/31
1110,"32,650","32,600","32,670","32,620",40,0.12%,2015/06/22,1394/04/01
1111,"32,630","32,580","32,660","32,660",90,0.28%,2015/06/23,1394/04/02
1112,"32,680","32,660","32,850","32,750",-,-,2015/06/24,1394/04/03
1113,"32,850","32,750","32,880","32,750",280,0.85%,2015/06/25,1394/04/04
1114,"32,860","32,860","33,070","33,030",30,0.09%,2015/06/27,1394/04/06
1115,"33,080","33,000","33,380","33,000",-,-,2015/06/28,1394/04/07
1116,"33,170","33,000","33,330","33,000",10,0.03%,2015/06/29,1394/04/08
1117,"32,980","32,870","33,110","32,990",100,0.3%,2015/06/30,1394/04/09
1118,"33,230","33,090","33,330","33,090",140,0.42%,2015/07/01,1394/04/10
1119,"33,040","32,940","33,060","32,950",90,0.27%,2015/07/02,1394/04/11
1120,"33,020","33,000","33,180","33,040",90,0.27%,2015/07/04,1394/04/13
1121,"33,130","32,900","33,130","32,950",230,0.7%,2015/07/05,1394/04/14
1122,"32,970","32,700","32,970","32,720",240,0.74%,2015/07/06,1394/04/15
1123,"32,560","32,420","32,690","32,480",100,0.31%,2015/07/07,1394/04/16
1124,"32,500","32,380","32,560","32,380",110,0.34%,2015/07/09,1394/04/18
1125,"32,440","32,440","32,590","32,490",10,0.03%,2015/07/11,1394/04/20
1126,"32,580","32,450","32,590","32,500",360,1.12%,2015/07/12,1394/04/21
1127,"32,270","32,120","32,270","32,140",20,0.06%,2015/07/13,1394/04/22
1128,"32,050","31,780","32,170","32,160",20,0.06%,2015/07/14,1394/04/23
1129,"32,350","32,180","32,620","32,180",120,0.37%,2015/07/15,1394/04/24
1130,"32,490","32,190","32,490","32,300",-,-,2015/07/16,1394/04/25
1131,"32,320","32,290","32,370","32,300",50,0.15%,2015/07/20,1394/04/29
1132,"32,250","32,200","32,420","32,350",40,0.12%,2015/07/21,1394/04/30
1133,"32,530","32,380","32,620","32,390",10,0.03%,2015/07/22,1394/04/31
1134,"32,530","32,380","32,560","32,380",190,0.59%,2015/07/23,1394/05/01
1135,"32,770","32,570","32,950","32,570",380,1.17%,2015/07/25,1394/05/03
1136,"33,030","32,570","33,180","32,950",50,0.15%,2015/07/26,1394/05/04
1137,"32,990","32,860","33,000","32,900",80,0.24%,2015/07/27,1394/05/05
1138,"33,030","32,980","33,090","32,980",50,0.15%,2015/07/28,1394/05/06
1139,"33,080","32,990","33,100","33,030",30,0.09%,2015/07/29,1394/05/07
1140,"33,050","33,000","33,070","33,000",140,0.42%,2015/07/30,1394/05/08
1141,"33,080","33,060","33,200","33,140",10,0.03%,2015/08/01,1394/05/10
1142,"33,220","33,120","33,270","33,150",10,0.03%,2015/08/02,1394/05/11
1143,"33,200","33,130","33,220","33,160",80,0.24%,2015/08/03,1394/05/12
1144,"33,250","33,220","33,330","33,240",30,0.09%,2015/08/04,1394/05/13
1145,"33,250","33,250","33,320","33,270",20,0.06%,2015/08/05,1394/05/14
1146,"33,300","33,250","33,400","33,250",130,0.39%,2015/08/06,1394/05/15
1147,"33,400","33,380","33,600","33,380",10,0.03%,2015/08/08,1394/05/17
1148,"33,500","33,300","33,510","33,390",30,0.09%,2015/08/09,1394/05/18
1149,"33,380","33,360","33,490","33,360",100,0.3%,2015/08/10,1394/05/19
1150,"33,440","33,360","33,590","33,460",10,0.03%,2015/08/12,1394/05/21
1151,"33,600","33,450","33,680","33,450",50,0.15%,2015/08/13,1394/05/22
1152,"33,580","33,400","33,640","33,400",10,0.03%,2015/08/15,1394/05/24
1153,"33,410","33,390","33,470","33,410",-,-,2015/08/16,1394/05/25
1154,"33,480","33,410","33,580","33,410",140,0.42%,2015/08/17,1394/05/26
1155,"33,450","33,450","33,710","33,550",90,0.27%,2015/08/18,1394/05/27
1156,"33,590","33,460","33,620","33,460",30,0.09%,2015/08/19,1394/05/28
